                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0116,                 2.3455,                 1.2475,                0.37826,                0.32323,                0.26386,                0.13264,                 1.5105,                 2.5201,                 1.6719,             0.00033258,             0.00033258,             0.00033258
                      2,                0.97702,                 1.6628,                 1.2311,                0.36891,                0.28921,                0.22189,                 0.1252,                 1.5264,                 2.4794,                 1.6321,             0.00065273,             0.00065273,             0.00065273
                      3,                0.97537,                 1.5312,                 1.2341,                0.41247,                  0.325,                0.28836,                0.15976,                 1.5761,                 2.1954,                 1.6731,             0.00095968,             0.00095968,             0.00095968
                      4,                0.93652,                 1.4351,                 1.2147,                0.36351,                0.34795,                0.28693,                0.16928,                 1.4675,                 2.2232,                 1.5917,              0.0009406,              0.0009406,              0.0009406
                      5,                 0.9139,                 1.3194,                 1.1994,                 0.5083,                0.36513,                0.37048,                0.21721,                  1.461,                 2.0137,                 1.6044,              0.0009208,              0.0009208,              0.0009208
                      6,                0.88099,                  1.227,                 1.1746,                0.48689,                0.36189,                0.36051,                0.21548,                 1.4231,                 2.0156,                 1.5553,               0.000901,               0.000901,               0.000901
                      7,                0.84655,                 1.1521,                 1.1616,                0.45351,                0.37012,                0.35516,                0.21194,                 1.4156,                 2.1059,                 1.5762,              0.0008812,              0.0008812,              0.0008812
                      8,                0.82672,                 1.1163,                 1.1515,                0.52055,                0.38897,                0.40098,                0.24948,                 1.3681,                 1.9657,                 1.5365,              0.0008614,              0.0008614,              0.0008614
                      9,                 0.8063,                  1.073,                 1.1409,                0.54365,                0.41953,                0.42271,                0.26672,                 1.3457,                 1.8705,                 1.4948,              0.0008416,              0.0008416,              0.0008416
                     10,                0.81028,                 1.0444,                 1.1385,                0.52539,                0.39392,                 0.3982,                 0.2425,                 1.3651,                 1.7857,                 1.4985,              0.0008218,              0.0008218,              0.0008218
                     11,                0.79664,                 1.0156,                 1.1293,                0.53681,                0.40555,                0.41819,                0.26666,                 1.3326,                 1.8264,                 1.4867,               0.000802,               0.000802,               0.000802
                     12,                0.77163,                0.95725,                 1.1156,                0.55771,                0.44401,                0.45794,                0.28983,                 1.3096,                  1.707,                 1.4656,              0.0007822,              0.0007822,              0.0007822
                     13,                0.77202,                0.94542,                 1.1112,                0.54329,                0.43671,                0.43921,                 0.2747,                 1.3311,                 1.8238,                  1.503,              0.0007624,              0.0007624,              0.0007624
                     14,                0.75725,                0.92556,                 1.1057,                0.52031,                0.42135,                0.41708,                 0.2596,                 1.3234,                 1.8973,                 1.4929,              0.0007426,              0.0007426,              0.0007426
                     15,                0.76247,                0.90166,                 1.1042,                 0.5473,                0.46469,                0.46205,                0.30198,                 1.2972,                 1.7018,                 1.4574,              0.0007228,              0.0007228,              0.0007228
                     16,                0.74195,                0.87545,                  1.092,                0.62511,                0.42997,                0.47476,                0.30864,                 1.3024,                 1.7635,                 1.4746,               0.000703,               0.000703,               0.000703
                     17,                0.73828,                0.86823,                 1.0923,                 0.5625,                0.46176,                0.48003,                0.31774,                 1.2823,                 1.6378,                 1.4513,              0.0006832,              0.0006832,              0.0006832
                     18,                0.73227,                0.83815,                 1.0838,                0.59164,                0.43444,                0.46639,                0.29734,                 1.3085,                 1.7715,                 1.4763,              0.0006634,              0.0006634,              0.0006634
                     19,                0.72391,                0.83067,                 1.0838,                 0.5827,                0.45269,                0.47653,                0.31066,                 1.2827,                 1.6823,                 1.4506,              0.0006436,              0.0006436,              0.0006436
                     20,                0.71948,                0.81111,                 1.0805,                0.58049,                0.40865,                0.45261,                0.29325,                 1.3066,                 1.8726,                  1.484,              0.0006238,              0.0006238,              0.0006238
                     21,                0.70147,                0.79264,                 1.0697,                0.58378,                0.44625,                0.47607,                0.30918,                 1.2817,                 1.7078,                 1.4408,               0.000604,               0.000604,               0.000604
                     22,                0.70029,                0.77577,                  1.069,                0.63226,                0.45972,                0.51211,                0.34368,                 1.2472,                 1.6015,                  1.411,              0.0005842,              0.0005842,              0.0005842
                     23,                0.69949,                0.76268,                 1.0682,                0.62923,                0.45201,                0.50137,                0.33279,                  1.256,                 1.6398,                 1.4296,              0.0005644,              0.0005644,              0.0005644
                     24,                0.68621,                0.75228,                 1.0626,                0.61481,                 0.4405,                0.48504,                0.32577,                 1.2617,                 1.6708,                  1.425,              0.0005446,              0.0005446,              0.0005446
                     25,                0.68364,                0.73181,                 1.0564,                0.59953,                0.48082,                0.50085,                0.33021,                 1.2607,                  1.636,                 1.4282,              0.0005248,              0.0005248,              0.0005248
                     26,                0.68147,                0.72098,                 1.0557,                0.62025,                0.44213,                0.47924,                0.31513,                 1.2549,                 1.7404,                 1.4201,               0.000505,               0.000505,               0.000505
                     27,                0.66875,                0.70579,                 1.0511,                0.63765,                0.46859,                0.51116,                0.33839,                 1.2654,                 1.6923,                 1.4356,              0.0004852,              0.0004852,              0.0004852
