                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0087,                 2.3401,                 1.2484,                0.33035,                  0.306,                0.23638,                0.13164,                 1.4636,                 2.5356,                 1.6357,             0.00033258,             0.00033258,             0.00033258
                      2,                0.97441,                  1.669,                 1.2313,                0.32589,                0.30413,                0.21662,                0.12112,                 1.4977,                  2.636,                 1.6027,             0.00065273,             0.00065273,             0.00065273
                      3,                0.96753,                 1.5274,                 1.2336,                0.42996,                0.32618,                0.27432,                0.15287,                 1.5064,                 2.3893,                 1.6377,             0.00095968,             0.00095968,             0.00095968
                      4,                0.93251,                 1.4181,                  1.213,                0.39138,                0.32563,                0.27181,                  0.159,                 1.5041,                 2.2417,                 1.6032,              0.0009406,              0.0009406,              0.0009406
                      5,                0.91431,                 1.3225,                 1.1988,                0.44642,                0.32924,                  0.323,                0.18591,                 1.5204,                 2.2474,                 1.6714,              0.0009208,              0.0009208,              0.0009208
                      6,                0.88199,                 1.2337,                 1.1754,                0.47492,                0.39317,                0.37801,                0.22815,                 1.4284,                 1.8904,                 1.5548,               0.000901,               0.000901,               0.000901
                      7,                0.84522,                 1.1612,                 1.1597,                0.44242,                0.36182,                0.34132,                0.21195,                 1.4626,                 2.1589,                 1.6079,              0.0008812,              0.0008812,              0.0008812
                      8,                0.82652,                 1.1141,                 1.1525,                0.52173,                0.38353,                0.38834,                0.24117,                 1.3909,                  1.954,                 1.5344,              0.0008614,              0.0008614,              0.0008614
                      9,                0.80907,                 1.0681,                 1.1404,                0.54564,                0.39495,                0.41827,                0.25991,                 1.3916,                 1.9128,                 1.5431,              0.0008416,              0.0008416,              0.0008416
                     10,                0.80894,                 1.0468,                 1.1389,                0.51909,                0.42803,                0.42675,                0.26603,                 1.3693,                 1.8003,                 1.5375,              0.0008218,              0.0008218,              0.0008218
                     11,                0.79369,                 1.0073,                 1.1251,                0.50507,                0.38768,                0.38668,                0.23786,                 1.3566,                 1.9427,                 1.4961,               0.000802,               0.000802,               0.000802
                     12,                0.76993,                0.95925,                 1.1142,                0.56296,                0.41994,                0.43921,                0.28047,                 1.3267,                 1.7597,                 1.4871,              0.0007822,              0.0007822,              0.0007822
                     13,                0.77008,                0.94756,                 1.1097,                0.51843,                0.43659,                0.41798,                0.26335,                 1.3328,                 1.8377,                 1.4971,              0.0007624,              0.0007624,              0.0007624
                     14,                0.76045,                0.93195,                 1.1091,                0.57282,                 0.3789,                 0.4217,                0.26191,                 1.3338,                 1.8539,                  1.504,              0.0007426,              0.0007426,              0.0007426
                     15,                0.76076,                0.89848,                 1.1043,                 0.5625,                0.43758,                0.45942,                0.29733,                 1.3016,                 1.6316,                 1.4744,              0.0007228,              0.0007228,              0.0007228
                     16,                0.74065,                0.86981,                 1.0918,                0.54351,                0.43093,                0.44762,                0.28612,                 1.3213,                 1.8232,                 1.5035,               0.000703,               0.000703,               0.000703
                     17,                0.73637,                0.86263,                 1.0912,                 0.5646,                0.46097,                0.47635,                0.31143,                 1.2916,                  1.676,                 1.4636,              0.0006832,              0.0006832,              0.0006832
                     18,                0.73382,                0.83714,                 1.0867,                0.54254,                0.44578,                0.45851,                0.30119,                 1.2902,                 1.7567,                 1.4577,              0.0006634,              0.0006634,              0.0006634
                     19,                0.72228,                0.82493,                 1.0841,                0.59372,                0.44809,                0.48551,                0.32101,                 1.2642,                 1.6941,                 1.4372,              0.0006436,              0.0006436,              0.0006436
