                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8707,                 4.1592,                 2.7685,                0.53418,                0.04659,                0.02345,                0.01051,                 2.4942,                 3.9369,                 2.5456,             0.00033258,             0.00033258,             0.00033258
                      2,                 1.9738,                 3.2243,                 2.0557,                0.24505,                0.11346,                0.04432,                0.02086,                 2.0381,                 3.4483,                 2.1932,             0.00059999,             0.00059999,             0.00059999
                      3,                 1.7311,                  2.844,                   1.85,                 0.2908,                0.13442,                0.05921,                0.02933,                 1.9615,                 3.1877,                 2.1393,              0.0008014,              0.0008014,              0.0008014
                      4,                 1.5683,                 2.5531,                 1.6958,                0.15163,                0.18544,                 0.0895,                0.04432,                 1.9079,                 2.9937,                 2.0663,               0.000703,               0.000703,               0.000703
                      5,                 1.4497,                  2.334,                 1.6083,                0.17743,                0.19493,                0.10369,                0.05419,                 1.7719,                 2.8778,                 1.9307,               0.000604,               0.000604,               0.000604
                      6,                 1.3583,                 2.1675,                 1.5251,                0.19885,                0.21177,                0.12404,                0.06601,                 1.7493,                 2.7401,                 1.8422,               0.000505,               0.000505,               0.000505
                      7,                 1.2808,                 2.0278,                 1.4626,                0.26052,                0.22937,                0.15626,                0.08518,                 1.6615,                 2.6263,                 1.7856,               0.000406,               0.000406,               0.000406
                      8,                 1.2342,                 1.9298,                 1.4257,                0.28169,                0.24407,                0.17707,                0.09695,                 1.6434,                 2.5351,                 1.7725,               0.000307,               0.000307,               0.000307
                      9,                 1.1909,                 1.8234,                 1.3941,                0.32758,                0.23429,                0.19217,                0.10746,                 1.6173,                 2.4949,                 1.7277,               0.000208,               0.000208,               0.000208
                     10,                 1.1483,                 1.7427,                 1.3596,                0.34825,                 0.2644,                0.21915,                 0.1217,                 1.6015,                 2.4093,                 1.7084,               0.000109,               0.000109,               0.000109
