                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7354,                 5.4394,                 4.3721,                      0,                      0,                      0,                      0,                 3.3798,                 5.3223,                 4.1589,                      0,                      0,                      0
                      2,                 3.1888,                 5.5648,                 4.2027,                      0,                      0,                      0,                      0,                 3.3798,                 5.3223,                 4.1587,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 3.0793,                 5.8846,                  4.228,                      0,                      0,                      0,                      0,                 3.3798,                 5.3223,                 4.1585,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 3.3366,                  5.542,                 4.2244,                      0,                      0,                      0,                      0,                 3.3798,                  5.323,                 4.1583,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 3.7665,                 5.5446,                 4.2306,                      0,                      0,                      0,                      0,                 3.3797,                 5.3221,                 4.1582,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 2.9452,                 5.5405,                 4.3446,                      0,                      0,                      0,                      0,                 3.3797,                 5.3221,                 4.1583,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 3.5863,                 5.7217,                 4.2981,                      0,                      0,                      0,                      0,                 3.3796,                 5.3204,                 4.1577,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 3.4358,                 5.4282,                 4.1973,                      0,                      0,                      0,                      0,                 3.3795,                 5.3205,                 4.1579,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 3.1399,                 5.6133,                 4.3097,                      0,                      0,                      0,                      0,                 3.3795,                 5.3212,                 4.1575,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 3.2386,                 5.5131,                 4.3171,                      0,                      0,                      0,                      0,                 3.3798,                 5.3227,                 4.1572,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 3.2279,                 5.5815,                 4.1996,                      0,                      0,                      0,                      0,                 3.3791,                 5.3206,                 4.1572,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 3.0029,                 5.6243,                 4.1944,                      0,                      0,                      0,                      0,                 3.3792,                 5.3227,                 4.1572,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 3.3428,                 5.4252,                  4.193,                      0,                      0,                      0,                      0,                 3.3791,                  5.321,                 4.1567,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 2.8898,                 5.6997,                 4.1925,                      0,                      0,                      0,                      0,                 3.3792,                 5.3203,                 4.1566,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                  3.356,                 5.4128,                 4.2133,                      0,                      0,                      0,                      0,                 3.3792,                  5.321,                 4.1567,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 3.4092,                 5.5634,                 4.2345,                      0,                      0,                      0,                      0,                 3.3792,                 5.3211,                 4.1565,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 3.1009,                 5.6145,                 4.3722,                      0,                      0,                      0,                      0,                 3.3792,                 5.3205,                 4.1563,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 2.9482,                 5.7742,                 4.2857,                      0,                      0,                      0,                      0,                 3.3792,                 5.3205,                 4.1563,             1.6825e-05,             1.6825e-05,             1.6825e-05
