                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4745,                 4.4076,                  3.295,                0.70365,                0.03424,                0.02357,                0.01003,                 2.3294,                 4.1424,                 2.8843,             0.00033258,             0.00033258,             0.00033258
                      2,                 1.6174,                 3.0029,                 2.0909,                0.05996,                0.09782,                0.03708,                0.01556,                 2.1818,                  3.773,                  2.538,             0.00065493,             0.00065493,             0.00065493
                      3,                 1.3893,                 2.4825,                 1.7935,                0.29918,                0.14566,                0.07829,                0.03681,                 2.0322,                  3.383,                 2.3365,             0.00096628,             0.00096628,             0.00096628
                      4,                   1.28,                 2.2613,                 1.6667,                0.12415,                0.13514,                0.06594,                0.02642,                 2.1076,                 3.3932,                 2.3912,              0.0009505,              0.0009505,              0.0009505
                      5,                    1.2,                  2.052,                 1.5909,                 0.1702,                 0.1816,                0.10542,                0.04256,                 1.9405,                  3.133,                 2.2416,               0.000934,               0.000934,               0.000934
                      6,                 1.1522,                 1.8978,                 1.5294,                 0.2052,                0.21579,                0.14325,                0.06322,                 1.8896,                  2.881,                 2.1462,              0.0009175,              0.0009175,              0.0009175
                      7,                 1.0917,                 1.7938,                 1.4871,                0.18084,                0.16685,                0.08533,                0.02931,                 2.0593,                 3.3272,                 2.3716,               0.000901,               0.000901,               0.000901
                      8,                 1.0637,                 1.7366,                 1.4607,                0.20338,                0.21696,                0.12181,                0.05119,                 1.8983,                 3.0519,                 2.1493,              0.0008845,              0.0008845,              0.0008845
                      9,                 1.0311,                 1.6446,                 1.4299,                0.28947,                0.24591,                0.17258,                0.07305,                 1.8542,                 2.7632,                 2.1012,               0.000868,               0.000868,               0.000868
                     10,                 1.0235,                 1.5886,                 1.4177,                0.28843,                0.25325,                  0.175,                0.07698,                 1.7977,                   2.63,                 2.0246,              0.0008515,              0.0008515,              0.0008515
                     11,                0.99938,                 1.5529,                 1.3973,                0.25276,                0.26831,                0.17913,                0.07513,                 1.8138,                 2.7035,                 2.0198,               0.000835,               0.000835,               0.000835
                     12,                0.97222,                 1.4825,                 1.3802,                0.30342,                0.28737,                0.21428,                0.09377,                 1.7988,                 2.5425,                 2.0149,              0.0008185,              0.0008185,              0.0008185
